school	sex	age	address	famsize	Pstatus	Medu	Fedu	reason	guardian	traveltime	studytime	failures	paid	activities	famrel	freetime	absences
GP	F	17	U	GT3	T	3	4	course	mother	1	3	0	no	no	4	4	16
GP	F	19	R	GT3	A	3	1	home	other	1	3	1	yes	no	5	4	12
GP	F	17	U	GT3	T	3	2	home	mother	1	2	0	yes	no	4	3	0
GP	F	18	U	LE3	T	3	3	home	mother	1	4	0	no	no	5	3	7
GP	F	17	R	GT3	A	3	2	home	mother	1	2	0	yes	no	4	3	4
GP	F	19	U	GT3	T	2	1	home	other	1	3	1	yes	yes	4	3	4
GP	M	18	U	GT3	T	4	4	home	father	1	2	1	no	yes	4	3	0
GP	M	18	U	LE3	T	3	4	home	mother	1	2	0	no	yes	4	3	11
GP	F	17	U	GT3	A	2	2	home	father	1	2	1	no	no	3	3	0
GP	F	18	U	GT3	T	2	3	course	mother	1	3	0	no	no	4	3	4
GP	F	18	U	GT3	T	3	2	other	mother	1	3	0	no	no	5	4	7
GP	M	18	R	GT3	T	4	3	course	mother	1	3	0	no	no	5	3	9
GP	M	18	U	GT3	T	4	3	course	mother	1	3	0	yes	no	5	4	0
GP	F	17	U	GT3	T	4	3	reputation	mother	1	3	0	yes	yes	4	4	0
MS	M	18	R	GT3	T	3	2	course	mother	2	1	1	no	no	2	5	10
MS	M	19	R	GT3	T	1	1	home	other	3	2	3	no	no	5	4	8
MS	M	17	U	GT3	T	3	3	course	mother	2	2	0	yes	no	4	5	2
MS	M	18	U	LE3	T	1	3	course	mother	1	1	1	no	no	4	3	7
MS	M	19	R	GT3	T	1	1	home	other	3	1	1	no	no	4	4	4
MS	M	17	R	GT3	T	4	3	home	mother	2	2	0	yes	yes	4	5	4
MS	F	18	U	GT3	T	3	3	course	father	1	2	0	no	no	5	3	0
MS	F	17	R	GT3	T	4	4	other	father	2	2	0	yes	yes	4	3	4
MS	F	17	U	LE3	A	3	2	reputation	mother	2	2	0	no	no	1	2	2
MS	M	18	U	LE3	T	1	1	home	father	2	1	0	no	no	3	3	4
MS	F	18	U	LE3	T	1	1	course	father	2	3	0	no	no	5	3	0
MS	F	18	R	LE3	A	1	4	course	mother	3	2	0	no	no	4	3	0
MS	M	18	R	LE3	T	1	1	other	mother	2	2	1	no	yes	4	4	2
MS	F	18	U	GT3	T	3	3	other	mother	2	2	0	no	no	4	3	0
MS	F	17	U	LE3	T	4	4	course	mother	1	2	0	yes	yes	2	3	0
MS	F	17	R	GT3	T	1	2	course	father	2	2	0	no	no	3	2	0
MS	M	18	R	GT3	T	1	3	course	mother	2	2	0	yes	no	3	3	4
MS	M	18	U	LE3	T	4	4	other	mother	2	3	0	yes	no	4	2	0
MS	F	17	R	GT3	T	1	1	reputation	mother	3	1	1	yes	no	5	2	0
MS	F	18	U	GT3	T	2	3	course	father	2	1	0	yes	no	5	2	0
MS	F	18	R	GT3	T	4	4	other	father	3	2	0	yes	no	3	2	10
MS	F	19	U	LE3	T	3	2	home	other	2	2	2	no	yes	3	2	4
MS	M	18	R	LE3	T	1	2	other	father	3	1	0	yes	yes	4	3	3
MS	F	17	U	GT3	T	2	2	home	mother	1	3	0	no	yes	3	4	8
MS	F	17	R	GT3	T	1	2	course	mother	1	1	0	no	yes	3	5	14
MS	F	18	R	LE3	T	4	4	reputation	mother	2	3	0	no	no	5	4	0
MS	F	18	R	GT3	T	1	1	home	mother	4	3	0	no	no	4	3	2
MS	F	20	U	GT3	T	4	2	course	other	2	3	2	yes	no	5	4	4
MS	F	18	R	LE3	T	4	4	course	mother	1	2	0	yes	yes	5	4	4
MS	F	18	U	GT3	T	3	3	home	mother	1	2	0	yes	no	4	1	0
MS	F	17	R	GT3	T	3	1	reputation	mother	1	2	0	yes	yes	4	5	17
MS	M	18	U	GT3	T	4	4	home	father	1	2	0	yes	yes	3	2	4
MS	M	18	R	GT3	T	2	1	other	mother	2	1	0	no	yes	4	4	5
MS	M	17	U	GT3	T	2	3	home	father	2	2	0	no	yes	4	4	2
MS	M	19	R	GT3	T	1	1	other	mother	2	1	1	no	no	4	3	0
MS	M	18	R	GT3	T	4	2	home	father	2	1	1	yes	no	5	4	14
MS	F	18	R	GT3	T	2	2	other	mother	2	3	0	yes	no	5	3	2
MS	F	18	R	GT3	T	4	4	reputation	mother	3	1	0	yes	yes	4	4	7
MS	F	19	R	GT3	T	2	3	course	mother	1	3	1	no	yes	5	4	0
MS	F	18	U	LE3	T	3	1	course	mother	1	2	0	yes	no	4	3	0
MS	F	18	U	GT3	T	1	1	course	mother	2	2	1	no	yes	1	1	0
MS	M	20	U	LE3	A	2	2	course	other	1	2	2	yes	no	5	5	11
MS	M	17	U	LE3	T	3	1	course	mother	2	1	0	no	no	2	4	3
MS	M	21	R	GT3	T	1	1	course	other	1	1	3	no	no	5	5	3
MS	M	18	R	LE3	T	3	2	course	mother	3	1	0	no	no	4	4	0
MS	M	19	U	LE3	T	1	1	course	father	1	1	0	no	no	3	2	5
